n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
400,,,5,1,,0.0001,0.9830840277080615,0.6287425149700598,323.469,2026-05-19T09:00:10.954005,1274,1296
100,20.0,,2,2,,0.0,0.9803232607167955,0.6283433133732534,60.487,2026-05-18T19:10:04.596577,185,1296
400,,sqrt,10,2,,0.0001,0.9447344644112037,0.6283433133732534,10.686,2026-05-19T08:00:05.523757,1218,1296
400,,,5,1,,0.0,0.9980925609878526,0.6283433133732534,321.697,2026-05-19T08:54:47.333169,1273,1296
400,20.0,,5,2,,0.0001,0.9716393936351772,0.6283433133732534,226.861,2026-05-19T06:58:22.035308,1170,1296
100,20.0,,5,1,,0.0001,0.9706354783656259,0.6283433133732534,61.369,2026-05-18T19:18:01.805426,194,1296
400,20.0,,10,2,,0.0001,0.9530669611484791,0.6283433133732534,223.081,2026-05-19T07:37:11.911885,1182,1296
100,,,2,2,,0.0,0.9938761168557374,0.6283433133732534,80.957,2026-05-18T19:53:35.270840,293,1296
100,,,5,2,,0.0001,0.9797209115550648,0.6279441117764472,79.469,2026-05-18T20:07:15.173648,306,1296
300,20.0,,5,2,,0.0001,0.9715390021082221,0.6279441117764472,169.793,2026-05-19T01:38:59.898799,846,1296
300,,,5,4,,0.0001,0.950657564501556,0.6279441117764472,196.189,2026-05-19T03:33:16.106781,958,1296
300,20.0,,5,2,,0.0,0.9777130810159622,0.6279441117764472,170.651,2026-05-19T01:36:10.000676,845,1296
400,,sqrt,2,4,,0.0,0.9470434695311716,0.6279441117764472,9.805,2026-05-19T07:56:52.705272,1197,1296
400,20.0,,2,1,,0.0001,0.9753538801325168,0.6279441117764472,230.377,2026-05-19T06:06:19.202090,1154,1296
300,,,2,4,,0.0001,0.950657564501556,0.6279441117764472,200.153,2026-05-19T02:58:34.907676,946,1296
100,,,5,4,,0.0001,0.9468928822407389,0.6279441117764472,69.65,2026-05-18T20:11:02.741725,310,1296
100,,,2,4,,0.0001,0.9468928822407389,0.6279441117764472,69.575,2026-05-18T19:58:44.403934,298,1296
400,,sqrt,5,4,,0.0,0.9470434695311716,0.6279441117764472,9.736,2026-05-19T07:58:41.919444,1209,1296
200,20.0,,10,1,,0.0001,0.952615199277181,0.6279441117764472,115.707,2026-05-18T22:03:06.174266,530,1296
400,,sqrt,5,1,,0.0,0.9993474550747917,0.6279441117764472,11.782,2026-05-19T07:57:29.059428,1201,1296
300,,sqrt,10,2,,0.0,0.9611484790683666,0.6279441117764472,8.008,2026-05-19T02:25:23.156345,893,1296
400,,,10,4,,0.0001,0.9394137134825821,0.6279441117764472,259.655,2026-05-19T10:15:57.172672,1294,1296
400,20.0,,5,4,,0.0,0.9531673526754342,0.6275449101796408,214.887,2026-05-19T07:07:31.762346,1173,1296
100,20.0,sqrt,2,1,,0.0001,0.976257403875113,0.6275449101796408,2.734,2026-05-18T19:03:39.174752,110,1296
300,,sqrt,2,4,,0.0,0.9460897500250979,0.6275449101796408,7.329,2026-05-19T02:23:06.189670,873,1296
400,,,5,4,,0.0001,0.9506073687380785,0.6275449101796408,261.532,2026-05-19T09:30:01.815744,1282,1296
400,,,2,4,,0.0001,0.9506073687380785,0.6275449101796408,264.837,2026-05-19T08:43:55.065961,1270,1296
300,20.0,sqrt,10,2,,0.0001,0.9392631261921494,0.6275449101796408,7.191,2026-05-19T00:51:34.204893,786,1296
100,,,2,2,,0.0001,0.9817287420941673,0.6275449101796408,80.644,2026-05-18T19:54:55.972721,294,1296
100,20.0,,10,4,,0.0,0.9388113643208513,0.6275449101796408,58.603,2026-05-18T19:34:28.142988,213,1296
100,,,5,1,,0.0001,0.9821303082019878,0.6275449101796408,86.078,2026-05-18T20:03:06.297889,302,1296
400,20.0,,2,4,,0.0,0.9531673526754342,0.6275449101796408,215.108,2026-05-19T06:28:30.632831,1161,1296
300,,sqrt,5,4,,0.0,0.9460897500250979,0.6275449101796408,7.371,2026-05-19T02:24:28.472453,885,1296
400,20.0,sqrt,2,1,,0.0001,0.9775624937255296,0.6275449101796408,10.408,2026-05-19T05:51:38.326865,1082,1296
300,,sqrt,5,1,,0.0001,0.9820801124385102,0.6275449101796408,8.753,2026-05-19T02:23:42.452459,878,1296
100,20.0,,2,2,,0.0001,0.9721413512699528,0.6275449101796408,60.292,2026-05-18T19:11:05.124172,186,1296
100,20.0,,10,1,,0.0,0.9629555265535589,0.6275449101796408,61.062,2026-05-18T19:27:27.928587,205,1296
200,,,5,1,,0.0001,0.982682461600241,0.6275449101796408,164.072,2026-05-18T22:52:03.835187,626,1296
200,,sqrt,5,4,,0.0,0.9452866178094569,0.6271457085828344,5.051,2026-05-18T22:20:41.357809,561,1296
100,,sqrt,5,1,,0.0,0.9984439313321956,0.6271457085828344,3.086,2026-05-18T19:37:28.812861,229,1296
300,,,2,1,,0.0001,0.9866479269149684,0.6271457085828344,244.722,2026-05-19T02:36:04.438061,938,1296
200,,sqrt,2,4,,0.0,0.9452866178094569,0.6271457085828344,5.034,2026-05-18T22:19:45.726271,549,1296
300,,sqrt,5,4,,0.0001,0.9284208412809959,0.6271457085828344,7.378,2026-05-19T02:24:35.958717,886,1296
300,,sqrt,2,4,,0.0001,0.9284208412809959,0.6271457085828344,7.517,2026-05-19T02:23:13.815600,874,1296
300,,sqrt,5,1,,0.0,0.9993976508382693,0.6271457085828344,8.678,2026-05-19T02:23:33.571300,877,1296
200,20.0,sqrt,10,4,,0.0001,0.9117056520429676,0.6271457085828344,4.656,2026-05-18T21:18:06.838724,466,1296
400,20.0,sqrt,5,1,,0.0001,0.9740989860455778,0.6271457085828344,10.061,2026-05-19T05:53:20.450244,1094,1296
200,,sqrt,5,1,,0.0001,0.9808754141150486,0.6271457085828344,5.94,2026-05-18T22:20:10.155345,554,1296
100,20.0,,10,4,,0.0001,0.9316333701435598,0.6271457085828344,58.062,2026-05-18T19:35:26.247427,214,1296
100,20.0,,2,1,,0.0001,0.9741993775725328,0.6271457085828344,61.895,2026-05-18T19:07:35.134938,182,1296
100,,,5,2,,0.0,0.9901616303583978,0.6271457085828344,80.507,2026-05-18T20:05:55.652066,305,1296
200,,sqrt,10,2,,0.0,0.9598935849814275,0.6271457085828344,5.414,2026-05-18T22:21:18.588145,569,1296
200,,sqrt,5,4,,0.0001,0.9276679048288324,0.626746506986028,5.1,2026-05-18T22:20:46.532307,562,1296
200,20.0,,10,1,,0.0,0.9652143359100492,0.626746506986028,115.234,2026-05-18T22:01:10.393231,529,1296
200,,sqrt,5,2,,0.0,0.9914667202088143,0.626746506986028,5.523,2026-05-18T22:20:23.214812,557,1296
400,,sqrt,10,1,,0.0,0.9845397048489107,0.626746506986028,11.326,2026-05-19T07:59:17.865709,1213,1296
400,,sqrt,5,2,,0.0,0.992320048187933,0.626746506986028,10.865,2026-05-19T07:58:06.430880,1205,1296
100,20.0,sqrt,5,2,,0.0,0.9788675835759462,0.626746506986028,2.557,2026-05-18T19:04:13.125525,125,1296
100,,,2,1,,0.0,0.9997992169460898,0.626746506986028,87.623,2026-05-18T19:40:28.492796,289,1296
200,20.0,sqrt,5,1,,0.0,0.9854432285915069,0.626746506986028,5.074,2026-05-18T21:16:35.791659,445,1296
200,,sqrt,5,1,,0.0,0.9990964762574038,0.626746506986028,5.842,2026-05-18T22:20:04.126753,553,1296
400,20.0,,10,4,,0.0001,0.9356490312217649,0.626746506986028,214.889,2026-05-19T07:49:55.776098,1186,1296
100,20.0,,5,1,,0.0,0.9800220861359301,0.626746506986028,61.864,2026-05-18T19:17:00.384657,193,1296
200,,sqrt,2,4,,0.0001,0.9276679048288324,0.626746506986028,5.01,2026-05-18T22:19:50.811519,550,1296
400,20.0,,10,4,,0.0,0.9440819194859954,0.626746506986028,214.875,2026-05-19T07:46:20.747587,1185,1296
300,,sqrt,10,2,,0.0001,0.9444834855938159,0.6263473053892216,8.021,2026-05-19T02:25:31.288240,894,1296
200,20.0,sqrt,10,1,,0.0,0.9660676638891678,0.6263473053892216,4.963,2026-05-18T21:17:27.706406,457,1296
400,20.0,sqrt,2,4,,0.0001,0.9278686878827427,0.6263473053892216,9.095,2026-05-19T05:52:45.644821,1090,1296
200,20.0,sqrt,10,4,,0.0,0.9252083124184319,0.6263473053892216,4.571,2026-05-18T21:18:02.107937,465,1296
400,20.0,sqrt,2,4,,0.0,0.9419235016564602,0.6263473053892216,9.095,2026-05-19T05:52:36.408397,1089,1296
200,10.0,,5,2,,0.0,0.7718602549944784,0.6263473053892216,80.83,2026-05-18T20:50:29.224147,413,1296
200,10.0,,2,1,,0.0,0.7778837466117859,0.6263473053892216,81.186,2026-05-18T20:29:09.023671,397,1296
300,20.0,sqrt,10,4,,0.0001,0.9125589800220861,0.6263473053892216,6.793,2026-05-19T00:51:59.027192,790,1296
100,20.0,sqrt,2,1,,0.0,0.9910149583375163,0.6263473053892216,2.661,2026-05-18T19:03:36.086749,109,1296
300,20.0,sqrt,10,4,,0.0,0.9264130107418934,0.6263473053892216,6.837,2026-05-19T00:51:52.127234,789,1296
